review_id,review_text,sentiment
11,french horror cinema has seen something of a revival over the last couple of years with great films such as inside and romance on to the scene the revival just slightly but stands head and shoulders over most modern horror titles and is surely one of the best french horror films ever made was obviously shot on a low budget but this is made up for in far more ways than one by the originality of the film and this in turn is by the excellent writing and acting that ensure the film is a winner the plot focuses on two main ideas prison and black magic the central character is a man named sent to prison for fraud he is put in a cell with three others the quietly insane body building marcus and his retarded boyfriend daisy after a short while in the cell together they stumble upon a hiding place in the wall that contains an old after part of it they soon realise its magical powers and realise they may be able to use it to break through the prison walls br br black magic is a very interesting topic and i'm actually quite surprised that there aren't more films based on it as there's so much scope for things to do with it it's fair to say that makes the best of it's as despite it's the film never actually feels restrained and manages to flow well throughout director eric provides a great atmosphere for the film the fact that most of it takes place inside the central prison cell that the film feels very claustrophobic and this immensely benefits the central idea of the prisoners wanting to use magic to break out of the cell it's very easy to get behind them it's often said that the unknown is the thing that really people and this film proves that as the director that we can never really be sure of exactly what is round the corner and this helps to ensure that actually does manage to be quite frightening the film is memorable for a lot of reasons outside the central plot the characters are all very interesting in their own way and the fact that the book itself almost takes on its own character is very well done anyone worried that the film won't deliver by the end won't be disappointed either as the ending both makes sense and manages to be quite horrifying overall is a truly great horror film and one of the best of the decade highly recommended viewing,positive
12,when i rented this movie i had very low expectations but when i saw it i realized that the movie was less a lot less than what i expected the actors were bad the doctor's wife was one of the worst the story was so stupid it could work for a disney movie except for the murders but this one is not a comedy it is a laughable masterpiece of stupidity the title is well chosen except for one thing they could add stupid movie after dead husbands i give it 0 and a half out of 5,negative
13,i love cheesy horror flicks i don't care if the acting is sub par or whether the monsters look corny i liked this movie except for the feeling all the way from the beginning of the film to the very end look i don't need a 10 page or a sign with big letters explaining a plot to me but dark floors takes the what is this movie about thing to a whole new annoying level what is this movie about br br this isn't exceptionally scary or thrilling but if you have an hour and a half to kill and or you want to end up feeling frustrated and confused rent this winner,negative
14,anyone who could find redeeming value in this piece of crap ought to have their head examined we have the heroin addicted part time hooker wife with all over her body received from repeated by an abusive son now she is breast milk all over the kitchen floor the release so gained somehow akin to helen placing her hands in running water we have the husband who starts out by a prostitute who just happens to be his daughter she's upset with him because he came too quickly and ends by murdering his female colleague having sex with her corpse and then her up we have the kid who is relentlessly by his classmates and who comes home and beats his mom you see it's all deep huh the only decent moment in this horrendous pile of tripe is when the dad murders his son's it's a good thing this turkey was shot on video because otherwise what a waste of expensive film it would be if that guy who thinks artists ought to be interested in this is really serious no wonder most people think artists are insane we saw this lousy movie then put on zero woman the accused oh my god it was a as to which one was worse what is going on in japan these days sick sick sick,negative
15,b movie at best sound effects are pretty good lame concept decent execution i suppose it's a rental br br you put some oil in your mouth to save you from de poison you cut de bite and suck out de you gonna be ok tommy br br you stay by the when agent harris calls you get me give me a fire br br weapons we need weapons where's the all we have is this br br dr price is the snake expert br br local can handle the occasional alert every er in the city area,negative
16,a total waste of time just throw in a few explosions non stop fighting exotic cars a deranged millionaire slow motion computer generated car crashes and last but not least a hugh like character with wall to wall hot babes and mix in a and you will have this sorry excuse for a movie i really got a laugh out of the dr evil like heavily compound the plot was somewhere between preposterous and non existent how many are willing to make a 25 million dollar bet on a car race answer 4 but didn't they become through responsibility this was written for males it plays like a video game i did enjoy the ii landing in the desert though,negative
17,laputa castle in the sky is the bomb the message is as strong as his newer works and more pure fantastic and flying pirates how could it be any better the art is totally amazing and the soundtrack which is many times after this im not sure if this was the first time i heard it and evokes in me the most emotional sentimental response of any movie soundtrack the female lead in this movie is totally awesome and the boy is also a great role model he lives on his own the plot is classic miyazaki i won't give it away but the end is really great i rank this as one of miyazaki's three best with and spirited away also you may want to check out moving castle when it comes out sometime next year i hope if you like miyazaki check this one out as it readily available in the usa enjoy a,positive
18,at the height of the big racism row in 2007 involving and the late i condemned on an internet forum those b b ' fans who praised the show after years of bashing sitcoms such as i thought they were being and said so ain't half hot was then thrown into the argument with some pointing out it had starred an english actor up well yes but michael bates had lived in india as a boy and spoke the show's overlook the reality he brought to his performance as the noted indian character actor said in a 1995 documentary the that he was upset when he heard bates had landed the role but added no indian actor could have played that role as well as bates indeed br br was perry and companion show to also set in wartime the english town of on sea had been replaced by the hot steamy of india in particularly a place called where an army concert party puts on shows for the troops among them george his first sitcom role since in camp melvyn hayes de graham john and the late christopher mitchell over this gang of was the sergeant major williams the brilliant davies who regarded them all as his frustration at not being able to lead his men up the jungle to engage the enemy in combat made him bitter and bullying though he was nice to whom he thought was his son then there was ever so english colonel reynolds donald and captain michael was like a wise old beginning each show by talking to the camera and closing them by obscure he loved being so much he came to regard himself as practically british his friends were the tea making the late who went on to your and the rope pulling so real indians featured in the show another point its ignore also provided what was described on the credits as similar to the songs used as incidental music on each edition closed with him of hope only to be by a up ' from williams the excellent opening theme was penned by jimmy perry and derek br br though never quite in the affections nevertheless was popular enough to run for a total of eight seasons in 1975 davies and topped the with a cover version of that old they then recorded an entire album of old entitled what else ' br br the show hit crisis point three years later when bates died of cancer rather than the role of the writers just let him be quietly forgotten when george left the character of took his place as providing another source of comedy br br the last edition in 1981 saw the soldiers leave india by boat for the watching them go with great sadness as did viewers br br repeats have been few and far between mainly on u k gold all because of its so called reputation this is strange for one thing the show was not specifically about racism if a white man up is so wrong why does david 1984 film 'a passage to still get shown on television it featured alec guinness as an indian and won two oscars it was derived from jimmy own experiences some characters were based on real people the sergeant major really did refer to his men as i take the view that if you are going to put history on television get it right the past no matter how it might seem to modern audiences is was both funny and truthful and viewers saw this thank heavens for d v d 's i say time to stop this review as williams would say i'll have no in this jungle,positive
19,i have only had the luxury of seeing this movie once when i was rather young so much of the movie is in trying to remember it however i can say it was not as funny as a movie called killer tomatoes should have been and the most memorable things from this movie are the song and the scene with the elderly couple talking about poor timmy other than that the movie is really just scenes of little tomatoes and big tomatoes rolling around and people acting scared and overacting as people should do in a movie of this type however just having a very silly premise and a catchy theme song do not a good comedy make granted this movie is supposed to be a b movie nothing to be taken seriously however you should still make jokes that are funny and not try to a mildly amusing premise into a full movie perhaps a short would have been fine as the trailer showing the elderly couple mentioned above and a man desperately trying to gun down a larger was actually pretty good the trailer itself looked like a mock trailer but no they indeed made a full movie and a rather weak one at that,negative
20,chances are is a charming romantic fantasy about a woman shepherd whose husband christopher is killed shortly after learning she is pregnant we then see the husband in heaven letting the powers that be know that he was taken too soon and that his wife needs him he is told he can return to earth but not as himself 19 years where we see daughter mary stuart masterson preparing to graduate from college and a young man robert downey jr who it turns out is the reincarnation of her father the film is a little on the predictable side the story goes all the places you expect it to but it is so played by an energetic cast especially shepherd and downey that you can't help but get wrapped up in the fun shepherd has rarely been seen on screen to better advantage and she and downey are backed by a talented group of character actors in supporting roles a lovely and charming fantasy that will and you,positive
21,shown in australia as this incredibly bad movie is so bad that you become and have to watch it to the end just to see if it could get any worse and it does the storyline is so predictable it seems written by a high school class the sets are pathetic but better than the and the acting is wooden br br the seems to have been stolen from the props of there didn't seem to be a single original idea in the whole movie br br i found this movie to be so bad that i laughed most of the way through br br malcolm mcdowell should hang his head in shame he obviously needed the money,negative
22,despite some occasionally original touches like the virtual sets that provide the background for the victorian interiors featuring and her circle this film falls short and ultimately disappoints newcomer seems talented but is wasted as emmy a character who by mid film is reduced to nothing more than staring at a watching lady an autobiography takes off briefly when lady appears the camera on her facial expressions mannerisms even making her appear to be or invisible into scenes to virtual rendering of her br br a straightforward biopic of would have been worthwhile but this film unfortunately makes a of both lady life and that of a modern day computer scientist and her drawn boyfriend,negative
23,i hate reading reviews that say something like waste your time this film stinks on ice ' it does to that reviewer yet for me it may have some sort of charm if you like the other series films this one will be watchable if you like 40s films this one will be watchable br br this film is not as good in my opinion as any of the earlier series entries which starred richard as the protagonist it's much slower and the plot is trite you've seen this same narrative device used in many other films and usually better br br but the acting is good and so is the lighting and the dialog it's just lacking in energy and you'll likely figure out exactly what's going on and how it's all going to come out in the end not more than a quarter of the way through br br the series is semi noir and there character mood lighting camera movement and angles are more important than the story itself but this film is not noir it's too light weight and hollywood innocent for that neither richard character nor those of any of his ladies in the previous films had to come to a good end you just never knew until the end br br but still i'll recommend this one for at least a single viewing i've watched it at least twice myself and got a reasonable amount of enjoyment out of it both times,positive
24,the problems with e are many a one line concept that looks good on paper which also worked in an earlier english film love actually goes terribly wrong thanks to inept and shallow writing a well idea gets crushed to under the weight of its own ambition a director so completely by his own much first film goes overboard with the devices that worked in his earlier film ho ho try counting the number of times the device of split screens is used in this flick the problem is what worked in ho ho were the emotional of the school of film making but here doesn't quite grace us with its appearance on the screen no not even the writer director gives us relationships with one common problem but where is the intensity where is the depth where is the a to sans emotion and one that goes on and on and on it just cannot work br br in my opinion the basic for a film like this to work is that not only should each individual story be it should in some way or the other follow the of the traditional three act structure screen writing guru that's the real reason why e didn't work for me none of the stories had any depth or a roller coaster ride of emotional ups and downs one expects in mainstream hindi cinema also the between some of the stories seemed and very forced it's not clear what salman khan is doing at wedding if he was required to be present at the wedding scene for a neat wrap up why not a few more and bring the other two couples also to the wedding that would be br br but yes some of the stories did have a lot of promise for one the anil kapoor story tries to address a very real situation mid life crisis but its journey is so linear that you're left wondering if it was really an issue similarly the problem of commitment in the story is also true to life if only it was developed a little better i felt that the more promising stories in this mash were told from the male point of view which is fine but it brings down the emotional of these stories because the female characters and in particular have all the depth of a half filled bath wasn't this film supposed to be about different now the actors john abraham still needs to learn acting while is and endearing as ever anil kapoor gets a role written just for him but sometimes the boredom of his character since she didn't get a character to portray uses her charming smile and natural acting style to cover up for it is fine despite going a over the top in a few scenes has nothing much to do but she does remind us that she's the same girl who surprised us with her performance in govinda tries to make up for that huge mistake called and succeeds to a large extent br br that brings me the most irritating track of the film which ends up the maximum screen time salman khan and the track is irritating mainly because of them but i must credit them for their they're consistently bad all through the film could well be the next queen of i don't buy the crap that her role that of an required her to act over the top somebody should tell her the difference between being flamboyant because the character demands it and downright if you've seen who seems to be the inspiration behind this role in her interviews and boss you'll know what i mean i strongly feel that if had taken in this role rather than a bigger star like the story would have worked better salman phony accent is well shannon hindi is less than br br to be fair to the director he does manage to add some good directorial touches to the film i particularly liked the use of grey as the color in the anil kapoor story as a metaphor for their boring existence and the bright colors that come into the story with the arrival of the other woman but will anyone choose to paint their house in varying depressing shades of grey that's acceptable cinematic license i would say but when the film runs almost for 4 hours it almost feels like the director is trying too hard to give the audience a glimpse of his in an endlessly meandering montage of uninspiring sequences br br maybe wants us to sit in the theatre for as long as is possible ho ho,negative
25,the original demille movie was made in 1938 with march a very good film indeed hollywood's love of remakes brings us a fairly interesting movie starring he of course was brilliant as he almost always seemed to be in all of his movies charlton heston as andrew jackson was a stroke of genius however the movie did tend to get a little long in places it does not move at the pace of the 1938 version still it is a fun movie that should be seen at least once,positive
26,this is a very light headed comedy about a wonderful family that has a son called pecker because he use to peck at his food pecker loves to take all kinds of pictures of the people in a small of and manages to get the attention of a group of photo art lovers from new york city pecker has a cute sister who goes simply nuts over sugar and is actually an addict taking of sugar from a bag there are scenes of men showing off the in their with movements and doing pretty much the same it is rather hard to keep your mind out of the with this film but who cares it is only a film to give you a few laughs at a simple picture made in 1998,positive
27,the dvd version consists of 2 episodes the of being the in addition the language was spanish without subtitles hence it's hard for me to review in depth this movie because because i didn't understand what was said br br being an historic icon the part is very difficult and i found that for a newcomer just plays fine she is strong but also a very supportive tender soul mate dalton as is perfect and their romance is the main thing of the first episode so it is not really a documentary nor a but a great love story br br after the a new lover comes marc but the flavor is gone we remember always our first love so i found the second episode dull and their tragic fate isn't told br br nonetheless the production is the sets are big the live location exotic and the splendid the producers have a lot of money for sure but they spend nothing on the special effects they are so poor blue screens ships that it's funny br br finally i would like very much to hear it in french or english to make a definitive opinion about this two movies,negative
28,we had to go to an so we turned on the to record the ending after it was over i looked at my husband and said do you have a clue he his head no i said so you made me watch the end of this movie and i have no clue what just happened he didn't make me but you know br br the movie body itself was quite good there was a lot of suspense it kept you wondering then came the ending the ending was well it just ended you weren't let in on what happened or why right up until the credits i kept thinking something would happen to explain it but it never did so i came here expecting someone figured it out and i just wasn't paying attention nope here four years later i'm just as clueless as tom was br br i still have no clue what went on i'm just glad i didn't waste any to buy it because i sure would have been mad br br i get it the end of the movie is what disappeared,negative
29,bela lugosi appeared in several of these low budget for studios in the 1940's and the corpse is one of the better ones br br bela plays a mad scientist who kidnaps young brides and kills them and then fluid from their bodies so he can keep his wife looking young after a reporter and a doctor stay the night at his home and discover he is responsible for the deaths the following morning they report these murders to the police and the mad scientist is shot and drops dead shortly afterwards br br you have got almost everything in this movie the consist of an old a and dwarf her sons a and spooky in house bela and his wife find they sleep better in rather than in the movie br br the corpse is worth a look especially for bela lugosi fans great fun br br rating 3 stars out of 5,positive
30,i have read the book a couple of times and this movie doesn't follow exactly as it should i could let this slide it is after all a movie however i have serious issues with the setting of the movie nobody has seemed to mention that this movie and the book it is based on are based in actual events that happened in i live in i grew up in the town that this movie is supposed to be based on first of all the small town that is talked about as the setting is the third largest city in the state with a population of around 50 000 grand island is the largest city between lincoln and denver second the scenery for the movie is wrong grand island is in the river valley which is very flat with very few trees i tried watching this movie but it made me mad to see my hometown being treated so bad this was a real event large sections of the city were wiped out in the book they talk about riding from mormon island to park i guess you could if you don't mind a 15 mile ride each way for anyone who wants to know what really happened go here http www com,negative
31,i caught this at a test screening all i can say is what the hell this movie plays out about as smoothly as mickey mouse reading the script for scarface it's bizarre beyond making the slightest bit of sense and even if you do leave your brain in the car the film is still so bizarre that it isn't even funny br br the plot involves crocodile hunter steve irwin trying to save a crocodile which contains a cia the cia comes after irwin to get their back irwin mistakes them for and sets out to stop them br br that's about all the story there is the rest is over the top of australian culture see and and strangely choreographed action sequences at one point irwin a and knife fights with a cia agent on top of it yes that's right steve irwin knife fights a guy on top of an let that be your guide for this ridiculously bad film,negative
32,a strong woman oriented subject after long director the power the version of the hollywood hit not without my daughter is actress first home production a story about a woman's fight against harsh injustice br br the story of the film revolves around kapoor who lives in canada with her two there she meets kapoor falls in love with him and they soon marry their family is complete when has a boy master but their happiness is short lived as the news of mother naval makes them leave their perfect life in canada and come to india and that's when the problems start from the moment they reach br br india both are shocked to see the and the vast of people everywhere they take a crowded train to reach village and when they finally reach the station they have to catch a long bus drive to his village the filthy bus combined with the uncertain makes it a never ending drive and unfortunately for them a mob that beat out of shape for no fault of his attacks their bus fortunately they get shot dead just in time before they can further harm him after that they drive to the where father lives with his wife naval realized that her father in law is in command as soon as she enters the place but her only is her mother in warm welcome br br living there learns of her father in laws behavior and realizes that ruthless killing is a way of life for him the day she sees her father in law teach her son to throw a bomb she loses it and out against him to that they move back to canada but terror strikes again when is murdered one day leaving a broken down alone with her son in this strange land where she is by a cruel father in law her fight against this man to save her son is what makes up the climax of this emotional heart wrenching film br br what sets apart from most films being made off late is also the rural setting of the movie the only is music which fails to rise above the script the only saving grace is the sexy item number which has been composed by another pat for the director comes because he has some splendid performances from his cast kapoor is the life of the film and has given a moving performance as a helpless mother she is sure to win awards for this portrayal second is actor who is back with a bang with this film his mannerisms suit him to the and he's shown his once again with this role kapoor is the surprise of the film with a sincere and effective portrayal that stands up against both the other actors naval too is in top form and her climax showdown with is cameo provides the lighter moments and surely he's been pulled in to get the required star value though his role was not really required he's done it well overall is a far superior film than most out these days and the release hype is sure to get it a good opening is sure to get the critics and audience up so what if the film needs to be desperately by at least 2 to better the impact still has the power to go on without a,positive
33,the first episode immediately gave a good impression what to expect from the series mysteries waiting to be solved and a lot of good drama i love the fact that they gradually reveal the stories concerning the characters explaining just enough to stay excited of course this show has some flaws in the first two series there are some characters who for some reason don't show up in the third season many of the characters have a decent sent off but some of them just aren't there like rose and her husband where the hell are they what happened to them maybe they will return in later episodes but it is a little inconsistent that being said lost manages to be thrilling every episode especially the first two seasons that is a very hard thing to do i do notice that in the third season the focus is more on character development than the mystery aspects of the show this is not a bad thing it even saves some episodes from getting boring one of the elements that can be considered the strength of this show are the wonderful characters you will grow to love these characters good or bad but eventually i will want to see some mysteries to be solved and get closure the danger of lost getting canceled due to ratings is near and that would be devastating,positive
34,i don't know what it is i find so endearing about this film but the first time i saw it i wanted to see how it ended i'm not a big fan of paul nor of war dramas but i was truly wondering just how and when would find his child all he knows is that the boy has green eyes truth be told i have not seen this movie in years nor has it been shown on tv in a while but this movie is somewhat of one man's odyssey after the pains of war shows a very sympathetic and heart warming portrayal of a man lost by his memories there is an underlying message in this movie that he is looking for the last shred of human morality in the aftermath of this war and the reality that he does confront why this movie is not yet on dvd or video is a mystery to me,positive
35,many have stated that  killer whale is a jaws rip off this is not really true though the enormous commercial success of jaws undoubtedly made these man vs beast stories more attractive for film makers in the second half of the '70s  killer whale would be better described as a modern day of dick it's a story about obsession on one hand a obsessive quest to avenge the death of its mate on the other a bounty obsessive quest to kill the whale before it can claim any more lives sadly killer whale emerges a very disappointing film its interesting ideas somewhat ruined by hammy performances and preposterous plotting br br shark hunter nolan richard harris encounters a marine life rachel charlotte diving off the atlantic coast of canada their meeting almost ends in disaster when team are attacked by a great white shark but a killer whale arrives in the nick of time to stop the shark after this nolan becomes increasingly obsessed with capturing a killer whale and selling it to an but his plans when he accidentally kills a pregnant female of the species while the male looks on rachel tells nolan that a killer whale is an incredibly intelligent with a strong memory and feelings just like a human worse still native will warns him that the whale will always remember its grief and do everything it can to have revenge nolan initially tries to forget about the whole incident but the whale causes havoc in the fishing town and the disgruntled locals begin to demand that nolan puts to sea to track it down and destroy it eventually nolan is forced to pursue the killer the hunt leads all the way to the desolate ice of the ocean where man and beast play out their final fatal battle against each other br br two things stand out in this film one is the haunting score by perhaps the greatest composer of film music of all time his talents wasted on various rate during the 70s and 80s the other is the amazing widescreen photography of ted moore which makes the film consistently pleasing to the eye in every other department  killer whale is a shoddy film that does nothing to enhance the reputation of its talented cast and crew harris appears extremely ill throughout the film his hair black rings around his eyes and skin pale his performance lacks the usual strikes a lot of sexy poses but fails to convince with her long and ill informed explanations about the ways of the rest of the actors are wasted in brief and undeveloped roles the most memorable of which sees bo derek getting her leg bitten off by the vengeful whale the plot is total nonsense from start to finish with such preposterous sequences as the whale deliberately starting a fire in the fishing village that and destroys the local although it's credible to suppose that are intelligent creatures with genuine emotions the idea that a whale could plot revenge against a single human and carry it out so is utterly absurd  killer whale is really one for of the man vs beast cycle from the late 70s most will come away from the film shaking their heads in disbelief and their teeth with despair,negative
36,detective tony rome frank sinatra returns to the screen after his self titled debut this time it's a film that's played for while on a diving trip rome finds the body of a blonde beauty at the bottom of the sea her feet as you might expect in rome immediately on the case after being hired by man mountain rome finds himself immediately at risk as he has to investigate some mafia types who turn the tables on him and he is himself found to be the main suspect he must now go on the run and hope to solve the case alone the sinatra tries hard to sell us the lame jokes and make us believe he is a good detective oh and not to mention being sexually attractive to the welch but he fails miserably in this ham vanity project the frankly laughable denouement that every female is quite astounding every woman in the film is a head who likes over is front of the camera director douglas of course in in on the cracks of their each time as they their there's even a ridiculously campy gay character that belief this was a film made by real men for real men to their own sexuality it's a shameful,negative
37,sorry i just didn't find the subject matter as compelling as the filmmaker did the robot guy and the mole rat guy were pretty interesting although morris didn't really tell us much about them the other two subjects were a bore and the supposed connections between them didn't hold up,negative
